mq135,mq8,co2_index,estado
2043,919,904.4000000000001,VACIO
2056,925,892.1,VACIO
2037,916,910.1,VACIO
2037,916,910.1,VACIO
2025,911,921.4,VACIO
2029,913,917.6,VACIO
2006,902,939.4,VACIO
2013,905,932.8000000000001,VACIO
2013,905,932.8000000000001,VACIO
2009,904,936.5,VACIO
2035,915,912.0,VACIO
2017,907,929.0,VACIO
2014,906,931.8,VACIO
2021,909,925.2,VACIO
2001,900,944.1,VACIO
2007,903,938.4000000000001,VACIO
2001,900,944.1,VACIO
2000,900,945.0,VACIO
2005,902,940.3,VACIO
2000,900,945.0,VACIO
1997,898,947.9000000000001,VACIO
2006,902,939.4,VACIO
2000,900,945.0,VACIO
1991,895,953.6,VACIO
1999,899,946.0,VACIO
2010,904,935.6,VACIO
2000,900,945.0,VACIO
2032,914,914.8000000000001,VACIO
2011,904,934.7,VACIO
2000,900,945.0,VACIO
2000,900,945.0,VACIO
1990,895,954.5,VACIO
2016,907,929.9,VACIO
1995,897,949.8,VACIO
1994,897,950.6999999999999,VACIO
1998,899,946.9000000000001,VACIO
1987,894,957.3000000000001,VACIO
1999,899,946.0,VACIO
1995,897,949.8,VACIO
1986,893,958.3000000000001,VACIO
1998,899,946.9000000000001,VACIO
2001,900,944.1,VACIO
1999,899,946.0,VACIO
2010,904,935.6,VACIO
1966,884,977.2,VACIO
1968,885,975.3000000000001,VACIO
1987,894,957.3000000000001,VACIO
1955,879,987.6,VACIO
1973,887,970.6,VACIO
1949,877,993.1999999999999,VACIO
1925,866,1015.9,VACIO
1954,879,988.5,VACIO
1950,877,992.3,VACIO
1933,869,1008.4000000000001,VACIO
1954,879,988.5,VACIO
1927,867,1014.0,VACIO
1947,876,995.1,VACIO
1911,859,1029.2,VACIO
1933,869,1008.4000000000001,VACIO
1937,871,1004.6,VACIO
1921,864,1019.7,VACIO
1936,871,1005.5,VACIO
1936,871,1005.5,VACIO
1948,876,994.2,VACIO
1893,851,1046.2,VACIO
1911,859,1029.2,VACIO
1911,859,1029.2,VACIO
1905,857,1034.8,VACIO
1932,869,1009.3000000000001,VACIO
1921,864,1019.7,VACIO
1930,868,1011.2,VACIO
1941,873,1000.8000000000001,VACIO
1923,865,1017.8000000000001,VACIO
1922,864,1018.8000000000001,VACIO
1919,863,1021.6,VACIO
1921,864,1019.7,VACIO
1925,866,1015.9,VACIO
1901,855,1038.6,VACIO
1921,864,1019.7,VACIO
1936,871,1005.5,VACIO
1935,870,1006.5,VACIO
1907,858,1032.9,VACIO
1936,871,1005.5,VACIO
1925,866,1015.9,VACIO
1931,868,1010.3000000000001,VACIO
1917,862,1023.5,VACIO
1915,861,1025.4,VACIO
1891,850,1048.1,VACIO
1904,856,1035.8,VACIO
1904,856,1035.8,VACIO
1887,849,1051.8,VACIO
1905,857,1034.8,VACIO
1904,856,1035.8,VACIO
1886,848,1052.8,VACIO
1903,856,1036.7,VACIO
1895,852,1044.3,VACIO
1900,855,1039.5,VACIO
1895,852,1044.3,VACIO
1890,850,1049.0,VACIO
1894,852,1045.2,VACIO
1893,851,1046.2,VACIO
1873,842,1065.1000000000001,VACIO
1871,841,1067.0,VACIO
1881,846,1057.5,VACIO
1878,845,1060.3000000000002,VACIO
1879,845,1059.4,VACIO
1872,842,1066.0,VACIO
1886,848,1052.8,VACIO
1857,835,1080.2,VACIO
1866,839,1071.7,VACIO
1867,840,1070.7,VACIO
1876,844,1062.2,VACIO
1866,839,1071.7,VACIO
1868,840,1069.8000000000002,VACIO
1870,841,1067.9,VACIO
1869,841,1068.8,VACIO
1879,845,1059.4,VACIO
1866,839,1071.7,VACIO
1891,850,1048.1,VACIO
1894,852,1045.2,VACIO
1871,841,1067.0,VACIO
1874,843,1064.1,VACIO
1883,847,1055.6000000000001,VACIO
1881,846,1057.5,VACIO
1885,848,1053.7,VACIO
1884,847,1054.7,VACIO
1863,838,1074.5,VACIO
1871,841,1067.0,VACIO
1878,845,1060.3000000000002,VACIO
1854,834,1083.0,VACIO
1854,834,1083.0,VACIO
1839,827,1097.2,VACIO
1847,831,1089.6000000000001,VACIO
1858,836,1079.2,VACIO
1847,831,1089.6000000000001,VACIO
1862,837,1075.5,VACIO
1858,836,1079.2,VACIO
1879,845,1059.4,VACIO
1890,850,1049.0,VACIO
1887,849,1051.8,VACIO
1903,856,1036.7,VACIO
1872,842,1066.0,VACIO
1872,842,1066.0,VACIO
1899,854,1040.5,VACIO
1887,849,1051.8,VACIO
1871,841,1067.0,VACIO
1876,844,1062.2,VACIO
1882,846,1056.6000000000001,VACIO
1885,848,1053.7,VACIO
1910,859,1030.1,VACIO
1872,842,1066.0,VACIO
1898,854,1041.4,VACIO
1907,858,1032.9,VACIO
1881,846,1057.5,VACIO
1907,858,1032.9,VACIO
1915,861,1025.4,VACIO
1920,864,1020.6,VACIO
1900,855,1039.5,VACIO
1904,856,1035.8,VACIO
1919,863,1021.6,VACIO
1905,857,1034.8,VACIO
1886,848,1052.8,VACIO
1891,850,1048.1,VACIO
1885,848,1053.7,VACIO
1898,854,1041.4,VACIO
1874,843,1064.1,VACIO
1898,854,1041.4,VACIO
1910,859,1030.1,VACIO
1936,871,1005.5,VACIO
1857,835,1080.2,VACIO
1872,842,1066.0,VACIO
1854,834,1083.0,VACIO
1859,836,1078.3000000000002,VACIO
1849,832,1087.7,VACIO
1840,828,1096.2,VACIO
1847,831,1089.6000000000001,VACIO
1845,830,1091.5,VACIO
1856,835,1081.1000000000001,VACIO
1847,831,1089.6000000000001,VACIO
2407,1083,560.4000000000001,OCUPADO
2240,1008,718.2,OCUPADO
2225,1001,732.4,OCUPADO
2256,1015,703.1,OCUPADO
2234,1005,723.9,OCUPADO
2231,1003,726.8000000000001,OCUPADO
2266,1019,693.7,OCUPADO
2240,1008,718.2,OCUPADO
2219,998,738.1,OCUPADO
2207,993,749.4000000000001,OCUPADO
2187,984,768.3000000000001,OCUPADO
2181,981,774.0,OCUPADO
2224,1000,733.4,OCUPADO
2231,1003,726.8000000000001,OCUPADO
2225,1001,732.4,OCUPADO
2222,999,735.3000000000001,OCUPADO
2199,989,757.0,OCUPADO
2205,992,751.3,OCUPADO
2212,995,744.7,OCUPADO
2213,995,743.8000000000001,OCUPADO
2264,1018,695.6,OCUPADO
2210,994,746.6,OCUPADO
2201,990,755.1,OCUPADO
2211,994,745.7,OCUPADO
